Compas,Pitch,Roll,AccX,AccY,AccZ,Timer2,temps,Comportement
2932,29,9,3280,9664,13968,27367,0.233784500000013,D_S_TI
2932,29,9,3280,9664,13968,27368,0.247788000000014,D_S_TI
2938,29,10,3168,9392,13744,27369,0.261791500000015,D_S_TI
2944,30,10,2832,9440,13792,27370,0.275795000000016,D_S_TI
2956,30,10,2432,9328,14016,27371,0.289798500000018,D_S_TI
2961,30,10,2128,9088,13968,27372,0.303802000000019,D_S_TI
2964,31,10,1264,8848,14352,27373,0.31780550000002,D_S_TI
2967,31,10,992,8944,14304,27374,0.331809000000021,D_S_TI
2968,31,9,800,9088,14704,27375,0.345812500000022,D_S_TI
2969,31,9,576,9280,14848,27376,0.359816000000023,D_S_TI
2969,31,9,624,9152,15104,27377,0.373819500000025,D_S_TI
2980,32,7,1568,9184,14272,27402,0.723906999999997,D_S_TI
2979,32,7,1568,9248,14208,27403,0.737910499999998,D_S_TI
2978,32,7,1568,9248,14208,27404,0.751913999999999,D_S_TI
2976,32,7,1648,9136,14496,27405,0.7659175,D_S_TI
2975,32,7,1680,9200,14752,27406,0.779921000000002,D_S_TI
2972,32,7,1840,9168,14496,27407,0.793924500000003,D_S_TI
2971,32,7,1888,9168,14416,27408,0.807928000000004,D_S_TI
2969,32,7,1808,9040,14720,27409,0.821931500000005,D_S_TI
2967,32,7,1616,9280,14912,27410,0.835935000000006,D_S_TI
2966,32,7,1408,9248,14720,27411,0.849938500000007,D_S_TI
2964,32,6,944,8912,14400,27412,0.863942000000009,D_S_TI
2975,31,9,4624,9344,13360,27437,1.21402949999998,D_S_TI
2975,31,9,7616,7824,12144,27438,1.22803299999998,D_S_TI
2979,31,9,5104,9472,11168,27439,1.24203649999998,D_S_TI
2977,31,9,1664,9552,17328,27440,1.25603999999998,D_S_TI
2972,31,9,-32,7952,19024,27441,1.27004349999999,D_S_TI
2967,31,9,-992,7568,18128,27442,1.28404699999999,D_S_TI
2962,31,8,-848,8464,17136,27443,1.29805049999999,D_S_TI
2958,31,8,-192,8784,16096,27444,1.31205399999999,D_S_TI
2953,31,8,208,8608,15648,27445,1.32605749999999,D_S_TI
2951,31,8,704,8896,15056,27446,1.34006099999999,D_S_TI
2948,31,8,400,9008,16048,27447,1.35406449999999,D_S_TI
2894,29,8,2544,9424,14960,27472,1.70415200000002,D_S_S
2894,29,8,2544,9424,14960,27473,1.71815550000002,D_S_S
2893,30,8,2704,9408,14864,27474,1.73215900000002,D_S_S
2891,30,8,2768,9280,14928,27475,1.74616250000003,D_S_S
2889,30,7,2816,9120,14848,27476,1.76016600000003,D_S_S
2885,30,7,2576,8832,14944,27477,1.77416950000003,D_S_S
2877,29,7,2432,8704,14912,27478,1.78817300000003,D_S_S
2872,29,6,2160,8288,14464,27479,1.80217650000003,D_S_S
2872,29,6,2064,8272,14528,27480,1.81618000000003,D_S_S
2875,29,7,1872,8256,14640,27481,1.83018350000003,D_S_S
2878,30,7,1632,8432,14976,27482,1.84418700000003,D_S_S
2885,30,8,1792,8832,14976,27508,2.20827800000001,D_S_TI
2885,30,8,1856,8816,14864,27509,2.22228150000001,D_S_TI
2885,30,8,1856,8816,14864,27510,2.23628500000001,D_S_TI
2885,30,8,1744,8736,14928,27511,2.25028850000001,D_S_TI
2885,30,8,1664,8816,14800,27512,2.26429200000001,D_S_TI
2883,30,8,1600,8768,14800,27513,2.27829550000001,D_S_TI
2882,30,8,1536,8704,14736,27514,2.29229900000001,D_S_TI
2881,30,8,1584,8608,15152,27515,2.30630250000002,D_S_TI
2879,30,7,1424,8656,15184,27516,2.32030600000002,D_S_TI
2879,30,7,1536,8960,14976,27517,2.33430950000002,D_S_TI
2878,30,7,1664,8864,14656,27518,2.34831300000002,D_S_TI
2882,31,7,1520,8576,14576,27543,2.69840049999999,D_S_TI
2882,31,7,1360,8704,14720,27544,2.71240399999999,D_S_TI
2882,31,7,1344,8672,14704,27545,2.72640749999999,D_S_TI
2881,31,7,1328,8608,14544,27546,2.74041099999999,D_S_TI
2881,31,7,1440,8512,14592,27547,2.7544145,D_S_TI
2880,31,7,1408,8240,14800,27548,2.768418,D_S_TI
2879,31,7,1472,8224,15008,27549,2.7824215,D_S_TI
2879,31,7,1552,8112,15168,27550,2.796425,D_S_TI
2878,30,7,1520,8176,15200,27551,2.8104285,D_S_TI
2878,30,7,1840,8416,14736,27552,2.824432,D_S_TI
2878,30,7,2064,8896,15200,27553,2.8384355,D_S_TI
2879,30,7,1488,8000,14720,27579,3.20252650000003,D_S_TI
2878,30,7,1744,8384,15040,27580,3.21653000000003,D_S_TI
2878,30,7,1984,8736,15120,27581,3.23053350000004,D_S_TI
2877,30,7,2272,8864,14976,27582,3.24453700000004,D_S_TI
2878,30,7,2512,8944,15056,27583,3.25854049999998,D_S_TI
2878,30,7,2496,8960,15072,27584,3.27254399999998,D_S_TI
2878,30,8,2336,9008,15232,27585,3.28654749999998,D_S_TI
2879,30,8,2192,8960,15152,27586,3.30055099999998,D_S_TI
2879,30,8,2288,8768,14928,27587,3.31455449999999,D_S_TI
2880,30,8,2192,8576,14816,27588,3.32855799999999,D_S_TI
2880,30,8,2080,8640,14960,27589,3.34256149999999,D_S_TI
2874,30,8,1712,7824,15392,27614,3.69264900000002,D_S_TI
2874,30,8,2208,8352,15232,27615,3.70665250000002,D_S_TI
2874,30,8,2208,8352,15232,27616,3.72065600000002,D_S_TI
2875,30,8,1680,9424,16144,27617,3.73465950000002,D_S_TI
2875,30,8,1232,10224,16016,27618,3.74866300000002,D_S_TI
2876,31,8,1136,10160,14608,27619,3.76266650000002,D_S_TI
2877,31,8,1744,8912,13936,27620,3.77667000000002,D_S_TI
2878,31,8,2496,8352,14032,27621,3.79067350000003,D_S_TI
2879,31,8,2768,7904,13632,27622,3.80467700000003,D_S_TI
2878,31,8,2288,7488,14288,27623,3.81868050000003,D_S_TI
2878,30,8,1904,7664,14784,27624,3.83268400000003,D_S_TI
2878,31,8,1376,9120,15200,27649,4.1827715,D_S_TI
2879,31,8,1216,9024,15072,27650,4.196775,D_S_TI
2880,31,8,1376,8752,14592,27651,4.2107785,D_S_TI
2879,31,7,1568,8912,14560,27652,4.224782,D_S_TI
2877,31,7,1552,8736,14528,27653,4.23878550000001,D_S_TI
2877,31,7,1680,8672,14656,27654,4.25278900000001,D_S_TI
2878,31,7,1728,8560,14784,27655,4.26679250000001,D_S_TI
2878,31,7,1872,8416,14608,27656,4.28079600000001,D_S_TI
2878,31,7,1872,8512,14608,27657,4.29479950000001,D_S_TI
2879,31,8,1792,8720,14496,27658,4.30880300000001,D_S_TI
2879,31,8,1504,9040,14400,27659,4.32280650000001,D_S_TI
2878,31,8,2016,8720,15184,27673,4.51885550000003,D_S_TI
2878,31,8,2016,8720,15184,27674,4.53285900000003,D_S_TI
2879,31,8,2128,8928,14912,27675,4.54686250000003,D_S_TI
2879,31,8,2096,8912,14480,27676,4.56086600000003,D_S_TI
2879,31,8,2096,8752,14496,27677,4.57486950000003,D_S_TI
2879,31,8,2032,8704,14656,27678,4.58887300000004,D_S_TI
2878,31,8,1840,8864,14656,27679,4.60287650000004,D_S_TI
2877,31,8,1584,9120,14816,27680,4.61687999999998,D_S_TI
2877,31,7,1488,9056,15120,27681,4.63088349999998,D_S_TI
2875,31,7,1344,9072,15168,27682,4.64488699999998,D_S_TI
2874,31,7,1296,9008,14992,27683,4.65889049999998,D_S_TI
2873,31,7,1136,8144,15424,27708,5.00897800000001,D_S_TI
2873,31,7,720,9056,15936,27709,5.02298150000001,D_S_TI
2872,31,7,416,9376,16096,27710,5.03698500000002,D_S_TI
2871,31,7,640,9584,14736,27711,5.05098850000002,D_S_TI
2871,31,7,704,9600,13968,27712,5.06499200000002,D_S_TI
2871,31,7,1440,8624,13840,27713,5.07899550000002,D_S_TI
2872,31,7,2144,8016,13792,27714,5.09299900000002,D_S_TI
2873,31,7,2384,8064,13584,27715,5.10700250000002,D_S_TI
2872,31,7,2368,8944,15776,27716,5.12100600000002,D_S_TI
2873,31,7,3056,9472,15680,27717,5.13500950000002,D_S_TI
2875,31,7,3472,9024,14032,27718,5.14901300000002,D_S_TI
2907,29,7,2288,8976,14464,27743,5.4991005,D_S_TI
2910,29,6,2288,8976,14464,27744,5.513104,D_S_TI
2910,29,6,1824,9200,14448,27745,5.5271075,D_S_TI
2914,29,6,1440,8912,14000,27746,5.541111,D_S_TI
2923,29,6,880,8464,13888,27747,5.5551145,D_S_TI
2927,29,6,448,8896,14416,27748,5.569118,D_S_TI
2930,29,6,-224,7760,14864,27749,5.5831215,D_S_TI
2933,29,6,-224,7488,15888,27750,5.59712500000001,D_S_TI
2935,29,6,320,7376,15968,27751,5.61112850000001,D_S_TI
2937,29,6,1232,7360,15184,27752,5.62513200000001,D_S_TI
2940,28,6,1536,7968,15392,27753,5.63913550000001,D_S_TI
3123,30,11,2336,8272,14816,27779,6.00322649999998,D_S_TI
3123,30,11,2432,8096,14528,27779,6.00322649999998,D_S_TI
3123,30,11,2432,8096,14528,27780,6.01722999999998,D_S_TI
3124,30,11,2416,8208,14560,27781,6.03123349999998,D_S_TI
3125,30,11,2512,8192,14432,27782,6.04523699999999,D_S_TI
3126,30,11,2576,8144,14736,27783,6.05924049999999,D_S_TI
3127,30,11,2544,8256,14976,27784,6.07324399999999,D_S_TI
3129,30,11,2432,8400,15248,27785,6.08724749999999,D_S_TI
3130,30,11,2288,8624,15488,27786,6.10125099999999,D_S_TI
3132,30,11,2256,8624,15552,27787,6.11525449999999,D_S_TI
3138,30,11,2080,8592,15504,27788,6.12925799999999,D_S_TI
3129,30,9,2240,8128,15264,27813,6.47934550000002,D_S_TI
3128,30,9,2256,8288,15440,27814,6.49334900000002,D_S_TI
3127,30,9,2368,8384,15328,27815,6.50735250000002,D_S_TI
3127,30,9,2560,8320,15216,27816,6.52135600000003,D_S_TI
3127,29,9,2656,8384,15024,27817,6.53535950000003,D_S_TI
3127,29,9,2704,8336,14896,27818,6.54936300000003,D_S_TI
3128,29,9,2800,8496,14976,27819,6.56336650000003,D_S_TI
3128,29,9,2848,8640,14864,27820,6.57737000000003,D_S_TI
3129,30,9,2848,8704,14448,27821,6.59137350000003,D_S_TI
3130,30,9,2416,8656,14640,27822,6.60537700000003,D_S_TI
3130,30,9,2288,8640,14736,27823,6.61938050000003,D_S_TI
3122,30,9,1584,8576,15024,27859,7.12350650000002,D_S_TH
3121,30,9,1776,8640,14960,27860,7.13751000000002,D_S_TH
3120,30,9,1936,8816,14528,27861,7.15151350000002,D_S_TH
3119,30,9,2240,8816,14240,27862,7.16551700000002,D_S_TH
3119,30,9,2368,8400,14432,27863,7.17952050000002,D_S_TH
3119,30,9,2256,8320,14688,27864,7.19352400000002,D_S_TH
3118,30,9,2192,8192,14736,27865,7.20752750000003,D_S_TH
3119,30,9,2320,8144,14512,27866,7.22153100000003,D_S_TH
3119,30,9,2304,8208,14736,27867,7.23553450000003,D_S_TH
3119,30,9,2352,8320,14752,27868,7.24953800000003,D_S_TH
3119,30,9,2352,8112,15088,27869,7.26354150000003,D_S_TH
3116,30,9,1584,9328,14160,27894,7.613629,D_S_TI
3116,30,9,1296,10192,14272,27895,7.6276325,D_S_TI
3118,30,9,5072,4112,10672,27896,7.64163600000001,D_S_TI
3121,30,9,3792,7776,12240,27897,7.65563950000001,D_S_TI
3120,30,9,2128,7616,15696,27898,7.66964300000001,D_S_TI
3117,30,9,1152,6672,17616,27899,7.68364650000001,D_S_TI
3114,29,9,960,6880,17744,27900,7.69765000000001,D_S_TI
3113,29,9,1728,7936,17104,27901,7.71165350000001,D_S_TI
3112,29,9,2336,8816,15728,27902,7.72565700000001,D_S_TI
3113,29,9,2928,9232,15264,27903,7.73966050000001,D_S_TI
3114,29,9,3072,9712,14960,27904,7.75366400000001,D_S_TI
3113,30,9,1248,8208,14656,27929,8.10375149999999,D_S_TI
3113,30,9,1248,8208,14656,27930,8.11775499999999,D_S_TI
3110,30,9,512,8224,15056,27931,8.13175849999999,D_S_TI
3107,30,9,-48,7808,15424,27932,8.14576199999999,D_S_TI
3105,30,9,-784,8688,16144,27933,8.15976549999999,D_S_TI
3102,29,8,-688,9184,17216,27934,8.17376899999999,D_S_TI
3098,29,8,256,8288,16080,27935,8.18777249999999,D_S_TI
3095,29,7,-400,8656,15792,27936,8.201776,D_S_TI
3090,29,7,-3616,11104,16720,27937,8.2157795,D_S_TI
3090,29,7,-2160,7328,14528,27938,8.229783,D_S_TI
3092,30,7,-384,4912,12592,27939,8.2437865,D_S_TI
3248,29,7,3072,8848,13296,27964,8.59387400000003,D_S_TH
